uuid,gemini_ok,scene_type,has_person,person_style,room_type_hint,view_quality,time_of_day,luxury_score,has_text_overlay,text_content_type,visual_style,post_intent,error
18004779014252143,True,lobby_lounge,True,guest_lifestyle,none,no_view,daytime,4.0,False,none,styled_editorial,brand_worldview,
18041142166663261,True,food_drink,False,none,none,none,daytime,4.0,False,none,styled_editorial,food_dining,
17983336769651248,True,food_drink,False,none,none,none,daytime,5.0,False,none,styled_editorial,food_dining,
18047444879740639,True,amenity_detail,False,none,none,no_view,daytime,3.0,True,facility_name_logo,styled_editorial,experience_activity,
18156948955322217,True,exterior_entrance,False,none,none,garden_view,daytime,4.0,False,none,wide_establishing,brand_worldview,
18257129710290204,True,view_from_window,True,family,none,ocean_view,daytime,4.0,True,price_plan_info,drone_aerial,price_plan_announcement,
18019780388294184,True,pool_spa,False,none,traditional_japanese,no_view,daytime,4.0,False,none,styled_editorial,experience_activity,
18010066040276613,True,pool_spa,False,none,none,no_view,unknown,3.0,True,feature_description,styled_editorial,experience_activity,
18022625591264158,True,view_from_window,False,none,none,garden_view,daytime,3.0,False,none,documentary_photo,view_scenery,
18000967124371872,True,room,True,guest_lifestyle,standard,no_view,daytime,3.0,False,none,styled_editorial,room_showcase,
18212304031321315,True,other,False,none,standard,city_view,unknown,4.0,True,price_plan_info,styled_editorial,price_plan_announcement,
18121000288441206,True,view_from_window,False,none,traditional_japanese,mountain_view,daytime,3.0,False,none,documentary_photo,view_scenery,
18094234024500924,True,view_from_window,True,guest_lifestyle,traditional_japanese,mountain_view,daytime,4.0,False,none,styled_editorial,room_showcase,
17847988581210438,True,pool_spa,False,none,traditional_japanese,garden_view,daytime,4.0,False,none,styled_editorial,experience_activity,
18023449813983186,True,restaurant_bar,True,guest_lifestyle,none,city_view,daytime,3.0,True,facility_name_logo,styled_editorial,experience_activity,
18103326073455557,True,activity,False,none,none,none,night,3.0,False,none,close_up_detail,experience_activity,
17998460774752978,True,food_drink,False,none,none,no_view,daytime,5.0,False,none,styled_editorial,food_dining,
17940618041716253,True,lobby_lounge,True,staff,none,city_view,daytime,4.0,False,none,styled_editorial,brand_worldview,
17871601866068402,True,garden_outdoor_space,True,guest_lifestyle,none,garden_view,daytime,4.0,False,none,documentary_photo,experience_activity,
17932432793748372,True,restaurant_bar,True,guest_lifestyle,none,garden_view,daytime,3.0,False,none,styled_editorial,food_dining,
17978067209615521,True,room,True,guest_lifestyle,suite_highend,partial_view,daytime,4.0,False,none,wide_establishing,room_showcase,
18057120626011192,True,restaurant_bar,True,hand_detail,none,no_view,unknown,4.0,False,none,close_up_detail,food_dining,
18364693189138071,True,lobby_lounge,False,none,none,no_view,unknown,5.0,True,feature_description,styled_editorial,season_event,
18055771981529207,True,restaurant_bar,True,hand_detail,none,no_view,daytime,4.0,False,none,styled_editorial,food_dining,
18098178065044461,True,activity,True,guest_lifestyle,none,ocean_view,daytime,4.0,False,none,wide_establishing,experience_activity,
18064903436074311,True,view_from_window,False,none,traditional_japanese,garden_view,daytime,4.0,False,none,wide_establishing,view_scenery,
18064843838657151,True,activity,True,hand_detail,none,garden_view,daytime,3.0,False,none,close_up_detail,experience_activity,
17934783465149162,True,food_drink,False,none,none,no_view,unknown,4.0,False,none,close_up_detail,food_dining,
18004620296731318,True,food_drink,False,none,none,none,daytime,3.0,True,feature_description,close_up_detail,food_dining,
18147612706362387,True,room,False,none,suite_highend,no_view,daytime,4.0,False,none,styled_editorial,room_showcase,
18266718691286263,True,food_drink,False,none,none,no_view,unknown,4.0,True,feature_description,close_up_detail,food_dining,
17934512622054656,True,pool_spa,False,none,traditional_japanese,mountain_view,golden_hour_sunset,5.0,False,none,wide_establishing,view_scenery,
18028504232210916,True,garden_outdoor_space,True,guest_lifestyle,none,garden_view,daytime,3.0,False,none,wide_establishing,experience_activity,
18300076117231435,True,food_drink,False,none,none,none,unknown,3.0,True,season_event_announcement,styled_editorial,season_event,
17896554839901308,True,exterior_entrance,False,none,none,garden_view,daytime,4.0,True,facility_name_logo,wide_establishing,brand_worldview,
18060185384430081,True,room,False,none,standard,no_view,night,4.0,False,none,styled_editorial,room_showcase,
18035089027695690,True,pool_spa,False,none,none,city_view,night,5.0,True,facility_name_logo,wide_establishing,experience_activity,
18097620457992851,True,garden_outdoor_space,False,none,none,garden_view,daytime,5.0,False,none,documentary_photo,view_scenery,
18299390266153053,True,garden_outdoor_space,False,none,glamping_unique,garden_view,daytime,3.0,False,none,wide_establishing,room_showcase,
18050079037675300,True,activity,False,none,none,mountain_view,daytime,3.0,True,feature_description,styled_editorial,experience_activity,
18037041043804290,True,other,True,guest_lifestyle,none,city_view,daytime,2.0,True,facility_name_logo,documentary_photo,brand_worldview,
18096247415016931,True,food_drink,False,none,none,no_view,daytime,4.0,False,none,styled_editorial,food_dining,
18040937675770494,True,room,False,none,other,no_view,night,4.0,False,none,styled_editorial,room_showcase,
18523290106060400,True,exterior_entrance,False,none,none,mountain_view,daytime,4.0,False,none,documentary_photo,brand_worldview,
18038000393329911,True,lobby_lounge,True,staff,none,no_view,daytime,4.0,False,none,styled_editorial,brand_worldview,
17926724768817661,True,lobby_lounge,True,staff,none,no_view,unknown,5.0,False,none,styled_editorial,brand_worldview,
18076105697587679,True,food_drink,False,none,none,none,unknown,5.0,True,feature_description,styled_editorial,food_dining,
18351335809241012,True,lobby_lounge,True,silhouette_distant,none,no_view,unknown,3.0,True,facility_name_logo,documentary_photo,brand_worldview,
18089830345380176,True,lobby_lounge,False,none,none,city_view,daytime,4.0,True,other,wide_establishing,brand_worldview,
17972910803815916,True,room,True,guest_lifestyle,standard,city_view,daytime,3.0,False,none,documentary_photo,room_showcase,
18394345246074328,True,restaurant_bar,True,guest_lifestyle,none,no_view,unknown,4.0,False,none,styled_editorial,food_dining,
18161497597390068,True,garden_outdoor_space,False,none,none,garden_view,night,4.0,False,none,wide_establishing,brand_worldview,
17892353478222338,True,view_from_window,True,silhouette_distant,none,city_view,daytime,3.0,True,season_event_announcement,wide_establishing,view_scenery,
18103195543416352,True,room,True,guest_lifestyle,standard,no_view,daytime,4.0,False,none,styled_editorial,room_showcase,
18086718260300041,True,activity,True,guest_lifestyle,none,city_view,daytime,3.0,True,facility_name_logo,wide_establishing,experience_activity,
18011633345623379,True,activity,True,hand_detail,none,none,night,4.0,False,none,close_up_detail,experience_activity,
18084497167486994,True,garden_outdoor_space,False,none,traditional_japanese,mountain_view,daytime,4.0,False,none,wide_establishing,brand_worldview,
17961959615726341,True,lobby_lounge,False,none,none,garden_view,daytime,5.0,True,feature_description,styled_editorial,experience_activity,
17916567021039770,True,food_drink,False,none,none,garden_view,daytime,4.0,False,none,styled_editorial,food_dining,
18015928082493249,True,restaurant_bar,True,guest_lifestyle,none,partial_view,daytime,4.0,True,other,documentary_photo,food_dining,
18053401222875424,True,other,False,none,none,ocean_view,golden_hour_sunset,5.0,False,none,wide_establishing,view_scenery,
18294158218302556,True,restaurant_bar,False,none,none,city_view,daytime,4.0,False,none,styled_editorial,food_dining,
17892523449327152,True,room,False,none,other,partial_view,daytime,3.0,True,feature_description,styled_editorial,room_showcase,
18074504135508756,True,room,True,guest_lifestyle,standard,no_view,daytime,4.0,False,none,styled_editorial,room_showcase,
18047005694264887,True,pool_spa,False,none,none,other,daytime,3.0,True,facility_name_logo,wide_establishing,experience_activity,
18336110770095333,True,food_drink,False,none,none,no_view,unknown,4.0,False,none,close_up_detail,food_dining,
18044438270743544,True,other,False,none,standard,partial_view,daytime,4.0,True,price_plan_info,styled_editorial,price_plan_announcement,
18096013399680766,True,food_drink,True,hand_detail,none,no_view,daytime,3.0,True,feature_description,close_up_detail,food_dining,
18012579218473964,True,lobby_lounge,True,guest_lifestyle,none,no_view,night,4.0,False,none,styled_editorial,experience_activity,
18114350554602777,True,restaurant_bar,False,none,none,mountain_view,daytime,4.0,False,none,documentary_photo,view_scenery,
18077642026538381,True,pool_spa,False,none,traditional_japanese,mountain_view,night,4.0,False,none,styled_editorial,experience_activity,
18341790232191404,True,pool_spa,False,none,suite_highend,ocean_view,daytime,5.0,False,none,styled_editorial,room_showcase,
18249536332213976,True,lobby_lounge,False,none,none,no_view,daytime,4.0,True,facility_name_logo,wide_establishing,brand_worldview,
17979669863943361,True,food_drink,False,none,none,none,daytime,3.0,False,none,flat_lay,food_dining,
18093924275123823,True,restaurant_bar,False,none,none,garden_view,daytime,4.0,True,feature_description,styled_editorial,food_dining,
18076179995298668,True,view_from_window,True,silhouette_distant,none,ocean_view,night,5.0,False,none,wide_establishing,view_scenery,
18010523153893586,True,restaurant_bar,True,hand_detail,none,partial_view,daytime,4.0,True,season_event_announcement,styled_editorial,season_event,
17989527959496393,True,pool_spa,False,none,none,mountain_view,daytime,4.0,True,feature_description,styled_editorial,experience_activity,
17925109310873999,True,pool_spa,True,guest_lifestyle,none,no_view,daytime,4.0,False,none,styled_editorial,experience_activity,
18112272817491874,True,other,False,none,none,ocean_view,night,5.0,False,none,wide_establishing,view_scenery,
18118484101595860,True,food_drink,False,none,none,none,daytime,4.0,False,none,close_up_detail,food_dining,
18060770207472022,True,food_drink,True,hand_detail,none,garden_view,daytime,4.0,True,facility_name_logo,close_up_detail,food_dining,
18331650565240265,True,lobby_lounge,True,guest_lifestyle,traditional_japanese,partial_view,daytime,4.0,True,facility_name_logo,styled_editorial,experience_activity,
18048207317235164,True,lobby_lounge,False,none,none,city_view,daytime,4.0,False,none,wide_establishing,view_scenery,
18336509524242932,True,food_drink,True,hand_detail,none,ocean_view,daytime,2.0,True,feature_description,close_up_detail,experience_activity,
17997549794316615,True,lobby_lounge,False,none,none,no_view,unknown,4.0,False,none,close_up_detail,brand_worldview,
18080994206086804,True,room,False,none,other,partial_view,daytime,4.0,False,none,close_up_detail,room_showcase,
18007585040664125,True,exterior_entrance,False,none,traditional_japanese,mountain_view,daytime,4.0,True,facility_name_logo,wide_establishing,brand_worldview,
18088951898088899,True,food_drink,False,none,none,no_view,unknown,4.0,True,feature_description,styled_editorial,food_dining,
17855287170641910,True,exterior_entrance,True,silhouette_distant,traditional_japanese,mountain_view,daytime,4.0,True,facility_name_logo,styled_editorial,brand_worldview,
18034110803641734,True,view_from_window,True,guest_lifestyle,none,city_view,daytime,4.0,False,none,styled_editorial,view_scenery,
18003158624437131,True,food_drink,False,none,none,none,unknown,3.0,True,season_event_announcement,styled_editorial,season_event,
17999954543555222,True,restaurant_bar,True,hand_detail,none,garden_view,daytime,4.0,False,none,styled_editorial,food_dining,
17994982127266811,True,lobby_lounge,True,other,none,no_view,daytime,4.0,True,facility_name_logo,documentary_photo,experience_activity,
17880709314236250,True,food_drink,False,none,none,no_view,daytime,4.0,False,none,styled_editorial,food_dining,
18000514862331151,True,restaurant_bar,True,staff,none,no_view,unknown,4.0,True,facility_name_logo,documentary_photo,brand_worldview,
18380444338121035,True,lobby_lounge,True,guest_lifestyle,none,partial_view,daytime,4.0,False,none,styled_editorial,brand_worldview,
